Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,15767.0,12695.0,3073.0,19.0,253.0,206.0,703.0,2416.0,-8.0,2614.0,90.78
2022-06-01,15164.0,12069.0,3095.0,20.0,110.0,216.0,695.0,2293.0,31.0,1582.0,54.87
2022-09-01,13893.0,12028.0,1865.0,13.0,146.0,200.0,708.0,1103.0,31.0,759.0,26.18
2022-12-01,15521.0,13185.0,2336.0,15.0,130.0,215.0,723.0,1527.0,30.0,1063.0,36.66
2023-03-01,18662.0,15340.0,3322.0,18.0,123.0,191.0,762.0,2492.0,33.0,1670.0,57.71
2023-06-01,17737.0,14688.0,3049.0,17.0,177.0,211.0,749.0,2267.0,25.0,1690.0,58.49
2023-09-01,16012.0,13461.0,2551.0,16.0,171.0,234.0,798.0,1690.0,24.0,1280.0,44.39
2023-12-01,16740.0,13485.0,3255.0,19.0,146.0,262.0,783.0,2355.0,25.0,1775.0,61.55
2024-03-01,20419.0,16305.0,4114.0,20.0,73.0,261.0,815.0,3111.0,27.0,2259.0,78.22
2024-06-01,18070.0,15030.0,3039.0,17.0,201.0,256.0,843.0,2142.0,21.0,1695.0,58.77
2024-09-01,15635.0,13618.0,2017.0,13.0,221.0,317.0,904.0,1017.0,19.0,825.0,28.4
2024-12-01,17779.0,14885.0,2893.0,16.0,247.0,457.0,993.0,1691.0,19.0,1363.0,47.09
2025-03-01,23063.0,18456.0,4608.0,20.0,93.0,475.0,1125.0,3101.0,20.0,2475.0,84.23
