displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,8364.40,,,2022,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2714.75,,,2022,Annual
Non- Cash Items ,Non-CashItems,395.70,,,2022,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-2191.61,,,2022,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,9283.24,,,2022,Annual
Capital Expenditures ,CapitalExpenditures,-5613.41,,,2022,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,7870.42,,,2022,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,2257.01,,,2022,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-124.70,,,2022,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1065,,,2022,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-78.16,,,2022,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-10328.59,,,2022,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-11596.45,,,2022,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-0.47,,,2022,Annual
Net Changein Cash ,NetChangeinCash,-56.67,,,2022,Annual
Cash Interest Paid ,CashInterestPaid,1026.18,,,2022,Annual
Cash Taxes Paid ,CashTaxesPaid,1554.89,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
