displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,467.21,,,2025,Annual
Cash Equivalents ,CashEquivalents,1206.11,,,2025,Annual
Short Term Investments ,ShortTermInvestments,4157.75,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,5831.07,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,5890.25,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,5958.25,,,2025,Annual
Total Inventory ,TotalInventory,9562.98,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,2384.90,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,23737.20,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,83039.19,,,2025,Annual
Goodwill Net ,GoodwillNet,7681.78,,,2025,Annual
Intangibles Net ,IntangiblesNet,10077.44,,,2025,Annual
Long Term Investments ,LongTermInvestments,5230.56,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,874.12,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3056.86,,,2025,Annual
Total Assets ,TotalAssets,133697.15,,,2025,Annual
Accounts Payable ,AccountsPayable,9327.48,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,7453.20,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,15584.29,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,32364.97,,,2025,Annual
Long Term Debt ,LongTermDebt,15780.77,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,868.21,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,16648.98,,,2025,Annual
Total Debt ,TotalDebt,24102.18,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,9579.44,,,2025,Annual
Minority Interest ,MinorityInterest,3186.59,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,1210.40,,,2025,Annual
Total Liabilities ,TotalLiabilities,62990.38,,,2025,Annual
Common Stock Total ,CommonStockTotal,294.68,,,2025,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,0.56,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),70411.53,,,2025,Annual
Total Equity ,TotalEquity,70706.77,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,133697.15,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,29.41,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1800.04,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
