rank,since,firstName,mI,lastName,age,title
1,12/01/2014,Atul,,Daga,58,"{'startYear': '2024', 'startMonth': '6', 'startDay': '8', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
2,01/31/2025,Laxshmivarahan,,Ramasubramani,,"{'startYear': '2025', 'startMonth': '1', 'startDay': '31', 'iD1': 'CIO', 'abbr1': 'CIO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Digital and Information Officer'}"
3,NA,Vivek,,Agrawal,,"{'startYear': '2024', 'startMonth': '6', 'startDay': '9', 'iD1': 'CMO', 'abbr1': 'CMO', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chief Marketing Officer, Whole-Time Director'}"
4,NA,Sanjeeb,Kumar,Chatterjee,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
5,10/19/2018,Kailash,Chandra,Jhanwar,67,"{'startYear': '2020', 'startMonth': '1', 'startDay': '1', 'iD1': 'MDR', 'abbr1': 'Mgng.Dir.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Managing Director, Executive Director'}"
