title,description,url,published_at,source,symbols,sentiment,entities
Stock Market Sectors: Stock market update: Power stocks down as market falls,The 30-share BSE Sensex closed  down  689.81 points at 82500.47,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-falls/articleshow/122388165.cms,2025-07-11T11:43:34.000000Z,economictimes.indiatimes.com,,,"Axis Bank Limited,Bharti Airtel Limited,Bajaj Auto Limited,Apollo Hospitals Enterprise Limited,IndusInd Bank Limited,Kotak Mahindra Bank Limited,Tata Consultancy Services Limited,Cipla Limited,Titan Company Limited,CESC Limited,Energy Development Company Limited,Orient Green Power Company Limited,GE Power India Limited,Hindustan Unilever Limited,Hero MotoCorp Limited,SBI Life Insurance Company Limited,KEC International Limited,Jaiprakash Power Ventures Limited,Tata Motors Limited,Tata Motors Limited,NTPC Limited,NHPC Limited,PTC India Limited,NLC India Limited,Tech Mahindra Limited,Sun Pharmaceutical Industries Limited,Reliance Power Limited,Voltamp Transformers Limited,Wipro Limited,AXIS BANK,TATA MOTORS LTD.,APOLLO HOSPITALS.,SUN PHARMACEUTICAL,TATA MOTORS LTD.,Bharti Airtel Limited,Axis Bank Limited,Bajaj Auto Limited,Kotak Mahindra Bank Limited,IndusInd Bank Limited,Tata Consultancy Services Limited,Cipla Limited,Tata Motors Limited,Energy Development Company Limited,Orient Green Power Company Limited,Hero MotoCorp Limited,Hindustan Unilever Limited,KEC International Limited,Tata Motors Limited,Wipro Limited,Tech Mahindra Limited,Reliance Power Limited,Titan Company Limited,CESC Limited,Voltamp Transformers Limited,Ravindra Energy Limited,NTPC Limited,NHPC Limited,NLC India Limited,GE Power India Limited,SBI Life Insurance Company Limited,PTC India Limited"
"Sensex tanks 690 points on selling in IT, auto stocks","Key benchmark indices Sensex and Nifty declined for the third session in a row on Friday, dropping nearly 1 per cent, dragged by heavy selling in IT, auto and energy stocks.

Tariff-related uncertainties amid mixed global market trends also added to the pressure, analysts said.

The 30-share BSE Sensex tanked 689.81 points or 0.83 per cent to settle at 82,500.47.",https://www.rediff.com/business/report/sensex-tanks-690-points-on-selling-in-it-auto-stocks/20250711.htm,2025-07-11T11:24:28.000000Z,rediff.com,,,"State Bank of India,Axis Bank Limited,Bharti Airtel Limited,State Bank of India,Bajaj Finance Limited,HDFC Bank Limited,Bank of India Limited,Tata Consultancy Services Limited,Hindustan Unilever Limited,Reliance Industries Limited,Infosys Limited,Tata Motors Limited,Tata Motors Limited,NTPC Limited,Trent Limited,AXIS BANK,HDFC BANK,Bharti Airtel Limited,Axis Bank Limited,State Bank of India,HDFC Bank Limited,Bajaj Finance Limited,Tata Consultancy Services Limited,Tata Motors Limited,Hindustan Unilever Limited,Reliance Industries Limited,Infosys Limited,Tata Motors Limited,Reliance Industries Ltd,NTPC Limited,Bank of India Limited,Trent Limited,Priya Limited,SSE Composite Index,Nikkei 225"
