tickerId,companyName,remarks,boardMeetDate,purpose
S0003086,Adani Ports And Special Economic,"Inter alia, to consider 2. Buyback of certain of its USD bonds, in this financial year, subject to market conditions.",2025-05-31,Others
S0003086,Adani Ports And Special Economic,"Inter-alia, to consider 1. The proposal for issuance of Non- Convertible Debentures on private placement basis, in one or more tranches.",2025-05-22,Others
S0003086,Adani Ports And Special Economic,,2025-05-01,Audited Results & Final Dividend
S0003086,Adani Ports And Special Economic,,2025-04-17,Preferential issue of shares
S0003086,Adani Ports And Special Economic,,2025-01-30,Quarterly Results
S0003086,Adani Ports And Special Economic,,2024-10-29,Quarterly Results
S0003086,Adani Ports And Special Economic,,2024-08-01,Quarterly Results
S0003086,Adani Ports And Special Economic,,2024-05-02,Audited Results & Dividend
S0003086,Adani Ports And Special Economic,,2024-02-01,Quarterly Results
S0003086,Adani Ports And Special Economic,"Inter alia, shall consider a proposal to issue Non-Convertible Debentures",2024-01-03,Others
S0003086,Adani Ports And Special Economic,"Inter alia, to consider : issuance / renewal of Non-cumulative redeemable preference shares, on private placement basis/ preferential basis, in one or more tranches.",2023-12-12,Others
S0003086,Adani Ports And Special Economic,,2023-11-09,Quarterly Results
S0003086,Adani Ports And Special Economic,,2023-08-08,Quarterly Results
S0003086,Adani Ports And Special Economic,,2023-05-30,Audited Results & Final Dividend
S0003086,Adani Ports And Special Economic,"Inter alia, to consider first and a partial buyback of certain of its debt securities, either denominated in INR or USD, in this financial year, subject to market conditions.",2023-04-22,Others
S0003086,Adani Ports And Special Economic,,2023-02-07,Quarterly Results
S0003086,Adani Ports And Special Economic,,2022-11-01,Quarterly Results
S0003086,Adani Ports And Special Economic,,2022-08-08,Quarterly Results
S0003086,Adani Ports And Special Economic,(Revised),2022-05-24,Audited Results & Final Dividend
S0003086,Adani Ports And Special Economic,,2022-05-11,Audited Results & Final Dividend
S0003086,Adani Ports And Special Economic,,2022-02-01,Quarterly Results
S0003086,Adani Ports And Special Economic,,2021-10-27,Quarterly Results
S0003086,Adani Ports And Special Economic,,2021-08-03,Quarterly Results
S0003086,Adani Ports And Special Economic,"Inter alia,  to consider raising funds by way of issuance of U.S$ denominated foreign currency bonds (""Bonds"") which may be issued in one or more tranches, in India or  overseas.",2021-07-14,Others
S0003086,Adani Ports And Special Economic,,2021-05-04,Audited Results & Dividend
S0003086,Adani Ports And Special Economic,,2021-02-09,Quarterly Results
