tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003086,Adani Ports And Special Economic,,2025-05-02,,2025-06-24,AGM
S0003086,Adani Ports And Special Economic,,2025-04-24,,2025-05-15,EGM
S0003086,Adani Ports And Special Economic,,2024-10-04,,2024-11-04,POM
S0003086,Adani Ports And Special Economic,,2024-05-02,,2024-06-30,AGM
S0003086,Adani Ports And Special Economic,,2024-03-01,,2024-04-04,POM
S0003086,Adani Ports And Special Economic,,2023-12-15,,2024-01-06,EGM
S0003086,Adani Ports And Special Economic,,2023-08-22,,2023-09-24,POM
S0003086,Adani Ports And Special Economic,,2023-05-30,,2023-08-08,AGM
S0003086,Adani Ports And Special Economic,,2022-07-05,,2022-07-26,AGM
S0003086,Adani Ports And Special Economic,,2022-02-08,,2022-03-14,COM
S0003086,Adani Ports And Special Economic,,2021-06-24,,2021-07-12,AGM
S0003086,Adani Ports And Special Economic,,2021-03-08,,2021-04-06,EGM
