Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,4141.0,2084.0,2057.0,50.0,608.0,649.0,764.0,1252.0,11.0,1112.0,5.22
2022-06-01,5058.0,2969.0,2089.0,41.0,486.0,629.0,840.0,1105.0,-7.0,1177.0,5.48
2022-09-01,5211.0,2320.0,2891.0,55.0,441.0,577.0,854.0,1900.0,9.0,1738.0,7.94
2022-12-01,4786.0,2090.0,2696.0,56.0,285.0,534.0,884.0,1564.0,15.0,1337.0,6.09
2023-03-01,5797.0,2526.0,3271.0,56.0,-885.0,623.0,846.0,917.0,-24.0,1139.0,5.36
2023-06-01,6248.0,2558.0,3689.0,59.0,384.0,633.0,950.0,2491.0,15.0,2119.0,9.79
2023-09-01,6646.0,2982.0,3664.0,55.0,351.0,520.0,974.0,2521.0,30.0,1762.0,8.09
2023-12-01,6920.0,2724.0,4196.0,61.0,507.0,976.0,985.0,2741.0,19.0,2208.0,10.22
2024-03-01,6896.0,2887.0,4009.0,58.0,-70.0,619.0,979.0,2341.0,14.0,2015.0,9.44
2024-06-01,7560.0,2820.0,4739.0,63.0,349.0,484.0,1012.0,3593.0,14.0,3107.0,14.41
2024-09-01,7067.0,2832.0,4235.0,60.0,254.0,527.0,1077.0,2885.0,16.0,2413.0,11.32
2024-12-01,7964.0,3161.0,4802.0,60.0,247.0,923.0,1106.0,3020.0,17.0,2518.0,11.67
2025-03-01,8488.0,3482.0,5006.0,59.0,426.0,715.0,1185.0,3532.0,14.0,3023.0,13.95
