displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,799.84,,,2025,Annual
Short Term Investments ,ShortTermInvestments,10230.13,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,11029.97,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,5506.37,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,5522.01,,,2025,Annual
Total Inventory ,TotalInventory,5642.11,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1094.43,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,23288.52,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,6475.02,,,2025,Annual
Goodwill Net ,GoodwillNet,3270.27,,,2025,Annual
Intangibles Net ,IntangiblesNet,1716.12,,,2025,Annual
Long Term Investments ,LongTermInvestments,1034.25,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,520.40,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1082.46,,,2025,Annual
Total Assets ,TotalAssets,37387.04,,,2025,Annual
Accounts Payable ,AccountsPayable,2837.49,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,185.72,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2460.75,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5483.96,,,2025,Annual
Long Term Debt ,LongTermDebt,11.98,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,240.49,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,252.47,,,2025,Annual
Total Debt ,TotalDebt,438.19,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,53.53,,,2025,Annual
Minority Interest ,MinorityInterest,95.80,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,307.83,,,2025,Annual
Total Liabilities ,TotalLiabilities,6193.59,,,2025,Annual
Common Stock Total ,CommonStockTotal,161.52,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),31031.93,,,2025,Annual
Total Equity ,TotalEquity,31193.45,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,37387.04,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,80.76,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,324.50,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
