displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,741.95,,,2023,Annual
Cash Equivalents ,CashEquivalents,797.61,,,2023,Annual
Short Term Investments ,ShortTermInvestments,799.28,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2338.84,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,882.01,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,1891.35,,,2023,Annual
Total Inventory ,TotalInventory,2701.67,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,84.62,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1292.10,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,8308.58,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3954.87,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1680.05,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2274.82,,,2023,Annual
Goodwill Net ,GoodwillNet,8025.38,,,2023,Annual
Intangibles Net ,IntangiblesNet,2849.96,,,2023,Annual
Long Term Investments ,LongTermInvestments,893.01,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,188.91,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,270.47,,,2023,Annual
Total Assets ,TotalAssets,22811.13,,,2023,Annual
Accounts Payable ,AccountsPayable,2348.18,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,912.11,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,119.60,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,544.79,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,3924.68,,,2023,Annual
Long Term Debt ,LongTermDebt,206.12,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,362.21,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,568.33,,,2023,Annual
Total Debt ,TotalDebt,1600.04,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,863.04,,,2023,Annual
Minority Interest ,MinorityInterest,850.17,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,328.20,,,2023,Annual
Total Liabilities ,TotalLiabilities,6534.42,,,2023,Annual
Common Stock Total ,CommonStockTotal,92.90,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,7000.93,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),8593.95,,,2023,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),21.86,,,2023,Annual
Other Equity Total ,OtherEquityTotal,567.07,,,2023,Annual
Total Equity ,TotalEquity,16276.71,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,22811.13,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,94.06,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,57.43,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
