Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Gross NPA %,Net NPA %
2022-03-01,8626.0,2568.0,2691.0,3367.0,39.0,3.0,104.0,3265.0,26.0,2420.0,39.96,1.6,0.68
2022-06-01,9284.0,2645.0,3026.0,3613.0,39.0,2.0,111.0,3503.0,26.0,2596.0,42.88,1.25,0.51
2022-09-01,9970.0,2972.0,3129.0,3869.0,39.0,4.0,121.0,3752.0,26.0,2781.0,45.93,1.17,0.44
2022-12-01,10787.0,3351.0,3308.0,4129.0,38.0,2.0,119.0,4012.0,26.0,2973.0,49.11,1.14,0.41
2023-03-01,11364.0,3592.0,3382.0,4390.0,39.0,5.0,134.0,4261.0,26.0,3158.0,52.16,0.94,0.34
2023-06-01,12498.0,4103.0,3693.0,4703.0,38.0,5.0,156.0,4551.0,24.0,3437.0,56.72,0.87,0.31
2023-09-01,13382.0,4537.0,3931.0,4914.0,37.0,2.0,159.0,4758.0,25.0,3551.0,58.6,0.91,0.31
2023-12-01,14164.0,4868.0,4229.0,5066.0,36.0,5.0,176.0,4896.0,26.0,3639.0,58.88,0.95,0.37
2024-03-01,14926.0,5217.0,4420.0,5289.0,35.0,9.0,193.0,5105.0,25.0,3825.0,61.79,0.85,0.37
2024-06-01,16099.0,5684.0,4956.0,5459.0,34.0,6.0,200.0,5265.0,26.0,3912.0,63.2,0.86,0.38
2024-09-01,17091.0,6149.0,5338.0,5604.0,33.0,8.0,210.0,5401.0,26.0,4014.0,64.62,1.06,0.46
2024-12-01,18035.0,6386.0,5691.0,5958.0,33.0,26.0,219.0,5765.0,25.0,4308.0,68.6,1.12,0.48
2025-03-01,18457.0,6552.0,6026.0,5879.0,32.0,21.0,252.0,5647.0,20.0,4546.0,72.09,0.96,0.44
