rank,since,firstName,mI,lastName,age,title
1,04/01/2008,Rajeev,,Jain,54,"{'startYear': '2025', 'startMonth': '4', 'startDay': '1', 'iD1': 'VCH', 'abbr1': 'Vice Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Executive Vice Chairman of the Board'}"
2,02/04/2016,Sandeep,,Jain,,"{'startYear': '2024', 'startMonth': '4', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'COO', 'abbr2': 'COO', 'Value': 'Chief Financial Officer, Chief Operating Officer'}"
3,04/2023,Nitish,,Asthana,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Payments'}"
4,04/2023,Sidhaant,,Dadwa,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - SME and Consumer Finance B2C'}"
5,04/2023,Kurush,,Irani,,"{'startYear': '2023', 'startMonth': '7', 'startDay': '1', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Corporate Social Responsibility'}"
6,NA,Manish,,Jain,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'Managing Director of Bajaj Financial Securities Limited, President - Consumer Finance B2B Credit Cards, Fixed Deposits and Rewards'}"
7,04/01/2024,Anand,,Kumar,,"{'startYear': '2024', 'startMonth': '4', 'startDay': '1', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Microfinance'}"
8,04/2023,Vivek,R.,Likhite,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Corporate Audit Services'}"
9,04/2023,Manav,,Mianwal,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Digital Platforms'}"
10,04/2023,Amit,,Raghuvanshi,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Sales Finance, Urban Two Wheeler and Cars'}"
