displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,14853.91,,,2024,Interim
Total Revenue ,TotalRevenue,14853.91,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,5736.71,,,2024,Interim
Gross Profit ,GrossProfit,9117.20,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1649.72,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,192.96,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),1310.01,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,930.23,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,9819.63,,,2024,Interim
Operating Income ,OperatingIncome,5034.28,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,81.43,,,2024,Interim
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-12.54,,,2024,Interim
Other Net ,OtherNet,1.91,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,5105.08,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1280.55,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,3824.53,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3824.53,,,2024,Interim
Net Income ,NetIncome,3824.53,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3824.53,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3824.53,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,3824.53,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,61.97,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,61.72,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,36.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,77.71,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
