displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,3642.46,,,2025,Annual
Cash Equivalents ,CashEquivalents,9901.08,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,13543.54,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,1913.11,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,1913.11,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2715.63,,,2025,Annual
Goodwill Net ,GoodwillNet,3.27,,,2025,Annual
Intangibles Net ,IntangiblesNet,1102.56,,,2025,Annual
Long Term Investments ,LongTermInvestments,36885.83,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,408324.91,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1141.20,,,2025,Annual
Other Assets Total ,OtherAssetsTotal,496.78,,,2025,Annual
Total Assets ,TotalAssets,466126.83,,,2025,Annual
Accounts Payable ,AccountsPayable,1878.04,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,72434.67,,,2025,Annual
Long Term Debt ,LongTermDebt,289845.52,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,289845.52,,,2025,Annual
Total Debt ,TotalDebt,289845.52,,,2025,Annual
Minority Interest ,MinorityInterest,2244.02,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3031.71,,,2025,Annual
Total Liabilities ,TotalLiabilities,369433.96,,,2025,Annual
Common Stock Total ,CommonStockTotal,124.17,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),96568.70,,,2025,Annual
Total Equity ,TotalEquity,96692.87,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,466126.83,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,62.08,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1539.71,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
