displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,4034.51,,,2024,Interim
Cash Equivalents ,CashEquivalents,6589.50,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,10624.01,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,1733.49,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,1733.49,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2383.67,,,2024,Interim
Goodwill Net ,GoodwillNet,3.27,,,2024,Interim
Intangibles Net ,IntangiblesNet,906.42,,,2024,Interim
Long Term Investments ,LongTermInvestments,32312.53,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,326584.24,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1017.43,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,176.56,,,2024,Interim
Total Assets ,TotalAssets,375741.62,,,2024,Interim
Accounts Payable ,AccountsPayable,2064.04,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,61024.14,,,2024,Interim
Long Term Debt ,LongTermDebt,233194.91,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,233194.91,,,2024,Interim
Total Debt ,TotalDebt,233194.91,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,2763.18,,,2024,Interim
Total Liabilities ,TotalLiabilities,299046.27,,,2024,Interim
Common Stock Total ,CommonStockTotal,123.60,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),76571.75,,,2024,Interim
Total Equity ,TotalEquity,76695.35,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,375741.62,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,61.80,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1226.29,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
