rank,since,firstName,mI,lastName,age,title
1,NA,Sashidhar,,Jagdishan,59,"{'startYear': '2020', 'startMonth': '10', 'startDay': '27', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director'}"
2,12/01/2018,Srinivasan,,Vaidyanathan,60,"{'startYear': '2019', 'startMonth': '8', 'startDay': '22', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
3,09/06/2018,Vinay,,Razdan,57,"{'startYear': '2020', 'startMonth': '', 'startDay': '', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief Human Resources Officer'}"
4,10/16/2020,Ramesh,,Lakshminarayanan,53,"{'startYear': '2020', 'startMonth': '10', 'startDay': '16', 'iD1': 'CIO', 'abbr1': 'CIO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Information Officer'}"
5,2024,Ravi,,Santhanam,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'CMO', 'abbr1': 'CMO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Marketing Officer, Head - Direct to Consumer Business'}"
6,07/21/2024,Ajay,Giridharilal,Agarwal,,"{'startYear': '2024', 'startMonth': '7', 'startDay': '21', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
7,2022,Sanmoy,,Chakrabarti,,"{'startYear': '2022', 'startMonth': '', 'startDay': '', 'iD1': 'CRO', 'abbr1': 'CRO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Risk Officer'}"
8,NA,Kaizad,,Bharucha,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '19', 'iD1': 'DMD', 'abbr1': 'Dep-Mgng.Dir.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Deputy Managing Director, Executive Director'}"
9,11/23/2023,V. Srinivasa,,Rangan,,"{'startYear': '2023', 'startMonth': '11', 'startDay': '23', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Legal and Secretarial, Fraud and Vigilance, Ethics Office, Information Security Group, Group Oversight Department'}"
10,2007,Bhavesh,,Zaveri,58,"{'startYear': '2023', 'startMonth': '4', 'startDay': '19', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Operations, ATM and Administration'}"
