Date,Volume,Delivery (%)
2025-04-15,8622733,54.0
2025-04-16,13014315,60.0
2025-04-17,27773494,52.0
2025-04-21,17096012,44.0
2025-04-22,25780953,61.0
2025-04-23,13124971,48.0
2025-04-24,13219550,52.0
2025-04-25,13514921,46.0
2025-04-28,12386348,45.0
2025-04-29,11982343,45.0
2025-04-30,26048650,68.0
2025-05-02,17534392,55.0
2025-05-05,24758034,54.0
2025-05-06,19630750,62.0
2025-05-07,16167441,56.0
2025-05-08,14954921,57.0
2025-05-09,13954213,46.0
2025-05-12,15926239,47.0
2025-05-13,14627050,46.0
2025-05-14,10420833,54.0
2025-05-15,17963393,45.0
2025-05-16,15379093,
2025-05-19,11175129,42.0
2025-05-20,11766406,52.0
2025-05-21,8466551,37.0
2025-05-22,7746159,41.0
2025-05-23,5991020,38.0
2025-05-26,5213051,40.0
2025-05-27,13117979,46.0
2025-05-28,7155863,47.0
2025-05-29,14284473,50.0
2025-05-30,22548172,65.0
2025-06-02,27985633,58.0
2025-06-03,15691409,56.0
2025-06-04,9755858,59.0
2025-06-05,13915075,60.0
2025-06-06,18107838,
