displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,15.61
"Revenue growth rate, 5 year",revenueGrowthRate5Year,12.71
"EPS growth rate, 5 year",ePSGrowthRate5Year,27.60
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,8.11
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,30.83
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,29.91
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),11.86
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,7.98
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,14.31
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,12.96
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,11.78
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,19.19
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,14.17
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-8.34
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,16.15
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,18.32
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,11.17
