displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,1063653.00
Revenue - trailing 12 month,revenueTrailing12Month),4909378.00
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,775613.40
EBITD - trailing 12 month,eBITDTrailing12Month,
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,775613.40
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,86.90
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,4909378.00
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,775613.40
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,1063653.00
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,1063653.00
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,1103568.00
