displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,462764.46,,,2024,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,2138346.01,,,2024,Interim
Net Loans ,NetLoans,3602607.15,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,84191.91,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-39483.73,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,44708.18,,,2024,Interim
Goodwill Net ,GoodwillNet,1405.96,,,2024,Interim
Long Term Investments ,LongTermInvestments,17675.58,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,12140.70,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,454130.76,,,2024,Interim
Total Assets ,TotalAssets,6733778.80,,,2024,Interim
Accounts Payable ,AccountsPayable,32861.61,,,2024,Interim
Total Deposits ,TotalDeposits,4966537.49,,,2024,Interim
Total Short Term Borrowings ,TotalShortTermBorrowings,15700.29,,,2024,Interim
Long Term Debt ,LongTermDebt,639609.50,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,639609.50,,,2024,Interim
Total Debt ,TotalDebt,655309.80,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,23.21,,,2024,Interim
Minority Interest ,MinorityInterest,15617.96,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,648489.56,,,2024,Interim
Total Liabilities ,TotalLiabilities,6318839.63,,,2024,Interim
Common Stock Total ,CommonStockTotal,892.46,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,79115.48,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),280745.58,,,2024,Interim
Unrealized Gain( Loss) ,UnrealizedGain(Loss),39077.95,,,2024,Interim
Other Equity Total ,OtherEquityTotal,15107.70,,,2024,Interim
Total Equity ,TotalEquity,414939.17,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,6733778.80,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,892.46,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,463.36,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
