rank,since,firstName,mI,lastName,age,title
1,NA,Suresh,,Narayanan,,"{'startYear': '2020', 'startMonth': '8', 'startDay': '1', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chairman of the Board, Managing Director'}"
2,03/01/2023,Svetlana,,Boldina,,"{'startYear': '2023', 'startMonth': '3', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chief Financial Officer, Executive Director - Finance and Control'}"
3,10/01/2022,Pramod,Kumar,Rai,,"{'startYear': '2022', 'startMonth': '10', 'startDay': '1', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
4,04/24/2025,Manish,,Tiwary,55,"{'startYear': '2025', 'startMonth': '4', 'startDay': '24', 'iD1': 'MDR', 'abbr1': 'Mgng.Dir.', 'iD2': 'DRC', 'abbr2': 'Dir.', 'Value': 'Managing Director, Director'}"
5,07/01/2023,Satish,,Srinivasan,,"{'startYear': '2023', 'startMonth': '7', 'startDay': '1', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Technical'}"
6,2023,Pallavi,,Anand,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Management Committee Member - Pet Food'}"
7,2023,Varun,,Gupta,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Management Committee Member - Supply Chain'}"
8,NA,Gopichandar,,Jagatheesan,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Management Committee Member - Dairy'}"
9,NA,Rajat,,Jain,,"{'startYear': 'NA', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Management Committee Member - Foods'}"
10,08/01/2024,Vasudevan,,Krishnan,,"{'startYear': '2024', 'startMonth': '8', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Management Committee Member - Export and Import'}"
