displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,21.87
Gross Margin - 5 year average,grossMargin5YearAverage,
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),21.93
Operating Margin - 5 year average,operatingMargin5YearAverage,
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,15.88
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,51.25
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,15.88
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,
Pretax Margin - 5 year average,pretaxMargin5YearAverage,
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-7.58
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,21.37
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,21.37
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,
Gross Margin - trailing 12 month,grossMarginTrailing12Month,56.69
