displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,16896.96,,,2022,Annual
Total Revenue ,TotalRevenue,16896.96,,,2022,Annual
Costof Revenue Total ,CostofRevenueTotal,8648.79,,,2022,Annual
Gross Profit ,GrossProfit,8248.17,,,2022,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,4279.94,,,2022,Annual
Research Development ,ResearchDevelopment,29.76,,,2022,Annual
Depreciation/ Amortization ,Depreciation/Amortization,403.01,,,2022,Annual
Unusual Expense( Income) ,UnusualExpense(Income),29.43,,,2022,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,190.12,,,2022,Annual
Total Operating Expense ,TotalOperatingExpense,13581.05,,,2022,Annual
Operating Income ,OperatingIncome,3315.91,,,2022,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,2.14,,,2022,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,6.26,,,2022,Annual
Other Net ,OtherNet,-68.34,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,3255.97,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,865.45,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2390.52,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2390.52,,,2022,Annual
Net Income ,NetIncome,2390.52,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2390.52,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2390.52,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,2390.52,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,96.42,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,24.79,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,22.00,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,24.97,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
