Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,4364.0,3445.0,919.0,21.0,137.0,52.0,297.0,707.0,7.0,659.0,182.16
2022-06-01,4415.0,3614.0,801.0,18.0,-20.0,55.0,350.0,376.0,26.0,279.0,77.47
2022-09-01,4038.0,3495.0,543.0,13.0,159.0,66.0,396.0,240.0,24.0,183.0,50.82
2022-12-01,4299.0,3573.0,727.0,17.0,174.0,70.0,443.0,388.0,27.0,282.0,78.18
2023-03-01,5100.0,4211.0,889.0,17.0,146.0,71.0,473.0,491.0,-7.0,525.0,145.72
2023-06-01,5036.0,4091.0,945.0,19.0,169.0,74.0,339.0,700.0,18.0,572.0,158.62
2023-09-01,4774.0,3888.0,886.0,19.0,132.0,67.0,412.0,539.0,17.0,447.0,123.79
2023-12-01,5193.0,3930.0,1264.0,24.0,147.0,55.0,444.0,913.0,23.0,702.0,194.53
2024-03-01,5401.0,3979.0,1422.0,26.0,150.0,62.0,702.0,807.0,16.0,676.0,187.05
2024-06-01,5124.0,4197.0,927.0,18.0,139.0,56.0,704.0,306.0,9.0,278.0,77.22
2024-09-01,4054.0,3441.0,613.0,15.0,181.0,56.0,716.0,23.0,-229.0,77.0,21.19
2024-12-01,4573.0,3608.0,965.0,21.0,111.0,52.0,799.0,225.0,14.0,194.0,53.6
2025-03-01,5532.0,4103.0,1429.0,26.0,158.0,41.0,788.0,758.0,24.0,575.0,159.18
