Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Gross NPA %,Net NPA %
2022-03-01,8838.0,2904.0,8555.0,-2620.0,-30.0,7838.0,131.0,5087.0,24.0,3892.0,19.61,2.37,0.71
2022-06-01,9164.0,3004.0,4879.0,1281.0,14.0,2405.0,0.0,3686.0,26.0,2755.0,13.88,2.27,0.69
2022-09-01,9994.0,3375.0,9313.0,-2694.0,-27.0,7441.0,0.0,4747.0,25.0,3608.0,18.17,2.09,0.6
2022-12-01,11011.0,3802.0,9345.0,-2136.0,-19.0,7360.0,0.0,5224.0,24.0,3995.0,20.12,1.91,0.48
2023-03-01,11982.0,4230.0,10548.0,-2796.0,-23.0,8785.0,0.0,5989.0,24.0,4566.0,22.99,1.76,0.41
2023-06-01,12869.0,4834.0,10303.0,-2269.0,-18.0,7855.0,0.0,5586.0,26.0,4150.0,20.88,1.75,0.43
2023-09-01,13717.0,5536.0,10136.0,-1955.0,-14.0,7843.0,0.0,5888.0,25.0,4461.0,22.45,1.69,0.39
2023-12-01,14495.0,5985.0,12484.0,-3975.0,-27.0,9588.0,0.0,5614.0,25.0,4265.0,21.46,1.68,0.36
2024-03-01,15156.0,6212.0,14920.0,-5976.0,-39.0,12751.0,0.0,6775.0,23.0,5337.0,26.85,1.38,0.36
2024-06-01,15837.0,6805.0,12263.0,-3231.0,-20.0,13042.0,0.0,9811.0,25.0,7448.0,37.47,1.39,0.38
2024-09-01,16427.0,7139.0,13094.0,-3806.0,-23.0,10453.0,0.0,6647.0,25.0,5044.0,25.37,1.48,0.45
2024-12-01,16633.0,7171.0,10595.0,-1133.0,-7.0,7313.0,0.0,6180.0,25.0,4701.0,23.64,1.51,0.44
2025-03-01,16772.0,7160.0,13664.0,-4051.0,-24.0,10402.0,0.0,6351.0,23.0,4933.0,24.81,1.45,0.36
