tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003043,Kotak Mahindra Bank,,2025-01-21,,2025-02-24,POM
S0003043,Kotak Mahindra Bank,,2024-07-09,,2024-08-03,AGM
S0003043,Kotak Mahindra Bank,,2024-02-12,,2024-03-14,POM
S0003043,Kotak Mahindra Bank,,2023-11-22,,2023-12-24,POM
S0003043,Kotak Mahindra Bank,,2023-10-03,,2023-11-01,POM
S0003043,Kotak Mahindra Bank,,2023-07-10,,2023-08-19,AGM
S0003043,Kotak Mahindra Bank,,2023-03-20,,2023-04-24,POM
S0003043,Kotak Mahindra Bank,,2022-07-23,,2022-08-27,AGM
S0003043,Kotak Mahindra Bank,,2022-04-19,,2022-05-24,POM
S0003043,Kotak Mahindra Bank,,2021-08-02,,2021-08-25,AGM
S0003043,Kotak Mahindra Bank,,2021-02-22,,2021-03-24,POM
