displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,15755.70,,,2020,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,153576.62,,,2020,Annual
Net Loans ,NetLoans,249878.95,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3659.69,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1975.79,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1683.90,,,2020,Annual
Goodwill Net ,GoodwillNet,813.75,,,2020,Annual
Intangibles Net ,IntangiblesNet,177.06,,,2020,Annual
Long Term Investments ,LongTermInvestments,1066.14,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,630.95,,,2020,Annual
Other Assets Total ,OtherAssetsTotal,19589.64,,,2020,Annual
Total Assets ,TotalAssets,443172.71,,,2020,Annual
Accounts Payable ,AccountsPayable,1688.06,,,2020,Annual
Total Deposits ,TotalDeposits,260400.21,,,2020,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,1013.48,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,228.97,,,2020,Annual
Long Term Debt ,LongTermDebt,65576.72,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,65576.72,,,2020,Annual
Total Debt ,TotalDebt,66590.19,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,164.21,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,46964.09,,,2020,Annual
Total Liabilities ,TotalLiabilities,376035.73,,,2020,Annual
Common Stock Total ,CommonStockTotal,1456.52,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,16900.18,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),47895.50,,,2020,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,2.87,,,2020,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),554.08,,,2020,Annual
Other Equity Total ,OtherEquityTotal,327.85,,,2020,Annual
Total Equity ,TotalEquity,67136.98,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,443172.71,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,191.30,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,345.77,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
