displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,289890.30
Revenue - trailing 12 month,revenueTrailing12Month),656688.30
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,221259.90
EBITD - trailing 12 month,eBITDTrailing12Month,
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,221259.90
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,96.86
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,656688.30
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,192466.80
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,289890.30
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,251856.30
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,261265.40
