displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,24844.04,,,2021,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,173677.98,,,2021,Annual
Net Loans ,NetLoans,252169.09,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,3719.63,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-2141.82,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1577.81,,,2021,Annual
Goodwill Net ,GoodwillNet,813.75,,,2021,Annual
Intangibles Net ,IntangiblesNet,162.35,,,2021,Annual
Long Term Investments ,LongTermInvestments,1153.44,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,0.09,,,2021,Annual
Other Assets Total ,OtherAssetsTotal,24455.65,,,2021,Annual
Total Assets ,TotalAssets,478854.22,,,2021,Annual
Accounts Payable ,AccountsPayable,1408.26,,,2021,Annual
Total Deposits ,TotalDeposits,278871.41,,,2021,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,2396.54,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,528.54,,,2021,Annual
Long Term Debt ,LongTermDebt,47738.90,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,47738.90,,,2021,Annual
Total Debt ,TotalDebt,50135.44,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,0.02,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,63071.94,,,2021,Annual
Total Liabilities ,TotalLiabilities,394015.61,,,2021,Annual
Common Stock Total ,CommonStockTotal,1490.92,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,24674.58,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),57024.54,,,2021,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,2.16,,,2021,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),1374.74,,,2021,Annual
Other Equity Total ,OtherEquityTotal,271.67,,,2021,Annual
Total Equity ,TotalEquity,84838.60,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,478854.22,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,198.18,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,423.16,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
