displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,15836.79,,,2025,Interim
Total Interest Expense ,TotalInterestExpense,6805.25,,,2025,Interim
Net Interest Income ,NetInterestIncome,9031.54,,,2025,Interim
Loan Loss Provision ,LoanLossProvision,774.44,,,2025,Interim
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,8257.10,,,2025,Interim
Non- Interest Income Bank ,Non-InterestIncomeBank,9239.08,,,2025,Interim
Non- Interest Expense Bank ,Non-InterestExpenseBank,-7685.19,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,9810.99,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,2411.60,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,7399.39,,,2025,Interim
Minority Interest ,MinorityInterest,0.00,,,2025,Interim
Equity In Affiliates ,EquityInAffiliates,48.77,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,7448.16,,,2025,Interim
Net Income ,NetIncome,7448.16,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,7448.16,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,7448.16,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,7448.16,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,198.78,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,37.47,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,23.04,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
