tickerId,companyName,remarks,boardMeetDate,purpose
S0003043,Kotak Mahindra Bank,,2025-05-03,Audited Results & Dividend
S0003043,Kotak Mahindra Bank,To consider other business matters.,2025-01-18,Quarterly Results & Others
S0003043,Kotak Mahindra Bank,,2024-10-19,Quarterly Results
S0003043,Kotak Mahindra Bank,,2024-07-20,Quarterly Results
S0003043,Kotak Mahindra Bank,,2024-05-04,Audited Results & Final Dividend
S0003043,Kotak Mahindra Bank,,2024-01-20,Quarterly Results
S0003043,Kotak Mahindra Bank,,2023-10-21,Quarterly Results
S0003043,Kotak Mahindra Bank,,2023-07-22,Quarterly Results
S0003043,Kotak Mahindra Bank,,2023-04-29,Audited Results & Final Dividend
S0003043,Kotak Mahindra Bank,,2023-01-21,Quarterly Results & Others
S0003043,Kotak Mahindra Bank,,2022-10-22,Quarterly Results & Others
S0003043,Kotak Mahindra Bank,,2022-07-23,Quarterly Results
S0003043,Kotak Mahindra Bank,,2022-05-04,Audited Results & Final Dividend
S0003043,Kotak Mahindra Bank,,2022-01-28,Quarterly Results
S0003043,Kotak Mahindra Bank,,2021-10-26,Quarterly Results
S0003043,Kotak Mahindra Bank,,2021-07-26,Quarterly Results
S0003043,Kotak Mahindra Bank,"Inter alia, to consider the proposal for seeking the consent of the Board for issuance of Unsecured, Redeemable, Non-Convertible Debentures/Bonds/other Debt Securities, on private placement basis.",2021-05-29,Others
S0003043,Kotak Mahindra Bank,,2021-05-03,Audited Results & Dividend
S0003043,Kotak Mahindra Bank,"Inter alia,  to consider and approve the declaration and payment of dividend on 1,00,00,00,000 Nos. 8.10% Non-Convertible Perpetual Non-Cumulative Preference Shares of face value of Rs.5 each (""PNCPS""",2021-03-12,Dividend on Preference Shares
S0003043,Kotak Mahindra Bank,,2021-01-25,Quarterly Results
