displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,44057.17,,,2024,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,257809.68,,,2024,Interim
Net Loans ,NetLoans,428986.56,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,6401.58,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-4200.88,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2200.71,,,2024,Interim
Goodwill Net ,GoodwillNet,947.76,,,2024,Interim
Intangibles Net ,IntangiblesNet,361.80,,,2024,Interim
Long Term Investments ,LongTermInvestments,1689.47,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,878.61,,,2024,Interim
Other Assets Total ,OtherAssetsTotal,30735.20,,,2024,Interim
Total Assets ,TotalAssets,767666.96,,,2024,Interim
Accounts Payable ,AccountsPayable,3032.48,,,2024,Interim
Total Deposits ,TotalDeposits,445268.76,,,2024,Interim
Total Short Term Borrowings ,TotalShortTermBorrowings,3605.13,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,878.41,,,2024,Interim
Long Term Debt ,LongTermDebt,75105.61,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,75105.61,,,2024,Interim
Total Debt ,TotalDebt,78710.74,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,246.60,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,109558.28,,,2024,Interim
Total Liabilities ,TotalLiabilities,637695.27,,,2024,Interim
Preferred Stock- Non Redeemable Net ,PreferredStock-NonRedeemableNet,0.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,993.96,,,2024,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,25532.96,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),98489.77,,,2024,Interim
ESOP Debt Guarantee ,ESOPDebtGuarantee,79.29,,,2024,Interim
Unrealized Gain( Loss) ,UnrealizedGain(Loss),4331.68,,,2024,Interim
Other Equity Total ,OtherEquityTotal,544.02,,,2024,Interim
Total Equity ,TotalEquity,129971.69,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,767666.96,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,198.79,,,2024,Interim
Total Preferred Shares Outstanding ,TotalPreferredSharesOutstanding,0.00,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,647.22,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
