Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,17482.0,17228.0,253.0,1.0,374.0,0.0,0.0,628.0,19.0,506.0,2.4
2022-06-01,6690.0,6386.0,304.0,5.0,74.0,0.0,0.0,378.0,4.0,361.0,1.71
2022-09-01,23083.0,22815.0,268.0,1.0,87.0,0.0,0.0,355.0,7.0,329.0,1.53
2022-12-01,19577.0,19787.0,-210.0,-1.0,394.0,0.0,0.0,184.0,-72.0,316.0,1.47
2023-03-01,20857.0,21215.0,-358.0,-2.0,882.0,0.0,0.0,525.0,31.0,362.0,1.68
2023-06-01,23371.0,23045.0,326.0,1.0,114.0,0.0,0.0,440.0,5.0,417.0,1.94
2023-09-01,23142.0,23557.0,-415.0,-2.0,136.0,0.0,0.0,-279.0,-235.0,378.0,1.76
2023-12-01,26927.0,26663.0,264.0,1.0,103.0,0.0,0.0,367.0,-0.0,368.0,1.71
2024-03-01,28041.0,27766.0,275.0,1.0,174.0,0.0,0.0,450.0,8.0,412.0,1.91
2024-06-01,26934.0,26623.0,311.0,1.0,90.0,0.0,0.0,401.0,-20.0,479.0,2.23
2024-09-01,28497.0,28807.0,-310.0,-1.0,279.0,0.0,0.0,-30.0,-1541.0,435.0,2.02
2024-12-01,17300.0,16852.0,448.0,3.0,-29.0,0.0,0.0,419.0,-1.0,421.0,1.96
2025-03-01,24191.0,23814.0,377.0,2.0,124.0,0.0,0.0,500.0,5.0,475.0,2.21
