rank,since,firstName,mI,lastName,age,title
1,08/04/2008,Vibha,U.,Padalkar,56,"{'startYear': '2018', 'startMonth': '9', 'startDay': '12', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director'}"
2,03/01/2019,Niraj,Ashwin,Shah,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '26', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chief Financial Officer, Executive Director'}"
3,07/19/2024,Sameer,,Yogishwar,,"{'startYear': '2024', 'startMonth': '7', 'startDay': '19', 'iD1': 'COO', 'abbr1': 'COO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Operating Officer'}"
4,2011,Vibhash,,Naik,,"{'startYear': '2020', 'startMonth': '', 'startDay': '', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief Human Resources Officer'}"
5,04/24/2009,Prasun,,Gajri,,"{'startYear': '2009', 'startMonth': '4', 'startDay': '24', 'iD1': 'CIN', 'abbr1': 'Chief Inv.Off.', 'iD2': '', 'abbr2': '', 'Value': 'Chief Investment Officer'}"
6,07/18/2017,Narendra,,Gangan,,"{'startYear': '2021', 'startMonth': '', 'startDay': '', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'GCN', 'abbr2': 'Counsel', 'Value': 'Chief Compliance Officer, General Counsel, Company Secretary'}"
7,10/2022,Rangarajan,B.,N.,,"{'startYear': '2022', 'startMonth': '10', 'startDay': '', 'iD1': 'CRO', 'abbr1': 'CRO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Risk Officer'}"
8,11/2022,Vineet,,Arora,,"{'startYear': '2025', 'startMonth': '5', 'startDay': '1', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Chief Business Officer'}"
9,07/2021,Eshwari,,Murugan,,"{'startYear': '2021', 'startMonth': '7', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Appointed Actuary'}"
