Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,9,12,8,9,1,9,14
ThirtyDaysAgo,INR,9,12,8,9,1,9,14
SixtyDaysAgo,INR,10,14,7,9,1,9,13
NinetyDaysAgo,INR,11,15,7,10,2,9,14
OneWeekAgo,INR,11,15,10,11,1,11,13
ThirtyDaysAgo,INR,11,15,10,11,1,11,13
SixtyDaysAgo,INR,12,15,9,11,1,11,12
NinetyDaysAgo,INR,13,17,9,12,2,11,12
OneWeekAgo,INR,15,18,12,15,2,15,6
ThirtyDaysAgo,INR,15,18,12,15,2,15,6
