displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,15.17
"Revenue growth rate, 5 year",revenueGrowthRate5Year,18.05
"EPS growth rate, 5 year",ePSGrowthRate5Year,5.54
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,-13.92
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,7.30
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,9.07
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),16.56
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,15.82
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,18.99
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,-1.29
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,50.78
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,-4.61
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,14.58
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,17.36
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),15.67
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-9.45
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,-1.14
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,
