displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,13285.00,,,2025,Annual
Short Term Investments ,ShortTermInvestments,7066.00,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,20351.00,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,8415.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,8432.00,,,2025,Annual
Total Inventory ,TotalInventory,34956.00,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,6997.00,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,70736.00,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,142129.00,,,2025,Annual
Goodwill Net ,GoodwillNet,643.00,,,2025,Annual
Intangibles Net ,IntangiblesNet,2538.00,,,2025,Annual
Long Term Investments ,LongTermInvestments,16460.00,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,899.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7337.00,,,2025,Annual
Total Assets ,TotalAssets,240742.00,,,2025,Annual
Accounts Payable ,AccountsPayable,32552.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,14370.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,13704.00,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,60626.00,,,2025,Annual
Long Term Debt ,LongTermDebt,81983.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,2399.00,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,84382.00,,,2025,Annual
Total Debt ,TotalDebt,98752.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,9510.00,,,2025,Annual
Minority Interest ,MinorityInterest,2170.00,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,4558.00,,,2025,Annual
Total Liabilities ,TotalLiabilities,161246.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,305.00,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),79191.00,,,2025,Annual
Total Equity ,TotalEquity,79496.00,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,240742.00,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,244.05,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,312.70,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
