rank,since,firstName,mI,lastName,age,title
1,05/01/2006,Siddhartha,Vikram,Lal,51,"{'startYear': '2025', 'startMonth': '2', 'startDay': '13', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Executive Chairman of the Board'}"
2,11/18/2022,Vidhya,,Srinivasan,54,"{'startYear': '2022', 'startMonth': '11', 'startDay': '18', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
3,08/10/2022,Atul,,Sharma,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Chief Compliance Officer, Company Secretary'}"
4,02/13/2025,Govindarajan,,Balakrishnan,,"{'startYear': '2025', 'startMonth': '2', 'startDay': '13', 'iD1': 'MDR', 'abbr1': 'Mgng.Dir.', 'iD2': 'DRC', 'abbr2': 'Dir.', 'Value': 'Managing Director, Director'}"
5,NA,Balakrishnan,,Govindarajan,,"{'startYear': '2021', 'startMonth': '8', 'startDay': '18', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Whole-Time Director, Chief Executive Officer - Royal Enfield'}"
