displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,20.18
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,22.31
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,18.82
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,37.91
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,22.31
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,18.82
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,6.59
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),6.93
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,15.79
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,24.07
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,40.87
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.75
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.75
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),24.07
Return on investment - 5 year average,returnOnInvestment5YearAverage,18.98
