Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,3193.0,2436.0,757.0,24.0,172.0,3.0,119.0,806.0,24.0,610.0,22.31
2022-06-01,3397.0,2566.0,831.0,24.0,82.0,5.0,116.0,792.0,23.0,611.0,22.33
2022-09-01,3519.0,2698.0,822.0,23.0,193.0,7.0,127.0,880.0,25.0,657.0,24.02
2022-12-01,3721.0,2864.0,857.0,23.0,256.0,8.0,135.0,971.0,24.0,741.0,27.09
2023-03-01,3804.0,2871.0,934.0,25.0,379.0,8.0,148.0,1156.0,22.0,906.0,33.11
2023-06-01,3986.0,2966.0,1021.0,26.0,344.0,10.0,142.0,1212.0,24.0,918.0,33.58
2023-09-01,4115.0,3027.0,1087.0,26.0,375.0,13.0,143.0,1307.0,22.0,1016.0,37.12
2023-12-01,4179.0,3089.0,1090.0,26.0,368.0,12.0,148.0,1298.0,23.0,996.0,36.38
2024-03-01,4256.0,3127.0,1129.0,27.0,437.0,15.0,165.0,1385.0,23.0,1070.0,39.1
2024-06-01,4393.0,3228.0,1165.0,27.0,457.0,12.0,169.0,1441.0,24.0,1101.0,40.2
2024-09-01,4263.0,3175.0,1088.0,26.0,468.0,13.0,180.0,1362.0,19.0,1100.0,40.15
2024-12-01,4973.0,3772.0,1201.0,24.0,452.0,13.0,179.0,1461.0,20.0,1170.0,42.7
2025-03-01,5241.0,3983.0,1258.0,24.0,628.0,16.0,201.0,1669.0,18.0,1362.0,49.68
