displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,4370.23,,,2023,Annual
Cash Equivalents ,CashEquivalents,1387.17,,,2023,Annual
Short Term Investments ,ShortTermInvestments,9390.34,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,15147.74,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,11489.29,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,12959.76,,,2023,Annual
Total Inventory ,TotalInventory,10968.32,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,371.77,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,414.35,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,39861.94,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,22013.01,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-11622.63,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,11353.73,,,2023,Annual
Goodwill Net ,GoodwillNet,8712.71,,,2023,Annual
Intangibles Net ,IntangiblesNet,9326.84,,,2023,Annual
Long Term Investments ,LongTermInvestments,5457.48,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2448.81,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3582.08,,,2023,Annual
Total Assets ,TotalAssets,80743.59,,,2023,Annual
Accounts Payable ,AccountsPayable,5681.52,,,2023,Annual
Accrued Expenses ,AccruedExpenses,1512.73,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,5958.26,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,367.70,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,6386.17,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,19906.38,,,2023,Annual
Long Term Debt ,LongTermDebt,0.00,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,559.91,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,559.91,,,2023,Annual
Total Debt ,TotalDebt,6885.87,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,31.69,,,2023,Annual
Minority Interest ,MinorityInterest,3320.09,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,930.14,,,2023,Annual
Total Liabilities ,TotalLiabilities,24748.21,,,2023,Annual
Common Stock Total ,CommonStockTotal,239.93,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,1187.41,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),47574.20,,,2023,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),214.96,,,2023,Annual
Other Equity Total ,OtherEquityTotal,6778.88,,,2023,Annual
Total Equity ,TotalEquity,55995.38,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,80743.59,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,239.93,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,158.19,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
