displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,22.51
Gross Margin - 5 year average,grossMargin5YearAverage,74.04
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),22.51
Operating Margin - 5 year average,operatingMargin5YearAverage,16.89
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,21.60
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,79.56
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,21.60
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,16.24
Pretax Margin - 5 year average,pretaxMargin5YearAverage,19.13
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,15.84
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,26.16
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,26.16
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,11.56
Gross Margin - trailing 12 month,grossMarginTrailing12Month,79.56
