tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003115,Tech Mahindra,Rs.30.0000 per share(600%)Final Dividend,2025-07-04,,Final,5,30,600,2025-04-24,,,2025-07-04
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Interim Dividend,2024-11-01,2024-10-31,Interim,5,15,300,2024-10-21,,,2024-10-31
S0003115,Tech Mahindra,Rs.28.0000 per share(560%)Final Dividend,,2024-07-19,Final,5,28,560,2024-04-25,2024-07-20,2024-07-26,2024-07-19
S0003115,Tech Mahindra,Rs.12.0000 per share(240%)Interim Dividend,2023-11-02,2023-11-02,Interim,5,12,240,2023-10-20,,,2023-11-02
S0003115,Tech Mahindra,Rs.32.0000 per share(640%)Final Dividend,,2023-07-21,Final,5,32,640,2023-04-27,2023-07-22,2023-07-27,2023-07-21
S0003115,Tech Mahindra,Rs.18.0000 per share (360%) Special Interim Dividend,2022-11-10,2022-11-09,Special,5,18,360,2022-10-25,,,2022-11-09
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Final Dividend,,2022-07-21,Final,5,15,300,2022-05-13,2022-07-23,2022-07-26,2022-07-21
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Special Dividend,,2022-07-21,Special,5,15,300,2022-05-14,2022-07-23,2022-07-26,2022-07-21
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Special Dividend,2021-11-05,2021-11-02,Special,5,15,300,2021-10-25,,,2021-11-02
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Special Dividend,,2021-07-23,Special,5,15,300,2021-04-27,2021-07-27,2021-07-30,2021-07-23
S0003115,Tech Mahindra,Rs.15.0000 per share(300%)Final Dividend,,2021-07-23,Final,5,15,300,2021-04-26,2021-07-27,2021-07-30,2021-07-23
