rank,since,firstName,mI,lastName,age,title
1,06/20/2023,Mohit,,Joshi,49,"{'startYear': '2023', 'startMonth': '12', 'startDay': '20', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director'}"
2,06/01/2022,Rohit,,Anand,,"{'startYear': '2022', 'startMonth': '6', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
3,08/07/2023,Atul,,Soneja,51,"{'startYear': '2023', 'startMonth': '8', 'startDay': '7', 'iD1': 'COO', 'abbr1': 'COO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Operating Officer'}"
4,01/03/2024,Richard,Gerard,Lobo,52,"{'startYear': '2024', 'startMonth': '1', 'startDay': '3', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief People Officer'}"
5,05/18/2024,Peeyush,,Dubey,,"{'startYear': '2024', 'startMonth': '5', 'startDay': '18', 'iD1': 'CMO', 'abbr1': 'CMO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Marketing Officer'}"
6,10/08/2010,Anil,,Khatri,,"{'startYear': '2023', 'startMonth': '9', 'startDay': '14', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
7,07/26/2024,Nitesh,,Aggarwal,,"{'startYear': '2024', 'startMonth': '7', 'startDay': '26', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Strategy Officer'}"
8,2022,Sandeep,,Chandna,,"{'startYear': '2022', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Sustainability Officer'}"
9,06/02/2025,Amol,,Phadke,,"{'startYear': '2025', 'startMonth': '6', 'startDay': '2', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Transformation Officer'}"
10,2022,Vineet,,Vij,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Legal Officer'}"
