displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,4735.50,,,2024,Interim
Short Term Investments ,ShortTermInvestments,3211.30,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,7946.80,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,11401.10,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,11401.10,,,2024,Interim
Total Inventory ,TotalInventory,37.50,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,4039.90,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,23425.30,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,3619.30,,,2024,Interim
Goodwill Net ,GoodwillNet,7510.60,,,2024,Interim
Intangibles Net ,IntangiblesNet,2835.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,815.50,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,3010.30,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,2207.60,,,2024,Interim
Total Assets ,TotalAssets,43423.60,,,2024,Interim
Accounts Payable ,AccountsPayable,3785.30,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1763.30,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,7068.00,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,12616.60,,,2024,Interim
Long Term Debt ,LongTermDebt,102.50,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,670.90,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,773.40,,,2024,Interim
Total Debt ,TotalDebt,2536.70,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,274.50,,,2024,Interim
Minority Interest ,MinorityInterest,477.40,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,2612.30,,,2024,Interim
Total Liabilities ,TotalLiabilities,16754.20,,,2024,Interim
Common Stock Total ,CommonStockTotal,441.30,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),26228.10,,,2024,Interim
Total Equity ,TotalEquity,26669.40,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,43423.60,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,88.25,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,184.97,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
