Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,50,72,37,48,8,51,21
ThirtyDaysAgo,INR,50,76,28,49,10,52,20
SixtyDaysAgo,INR,50,76,28,49,10,52,22
NinetyDaysAgo,INR,51,76,28,49,10,54,22
OneWeekAgo,INR,68,93,49,66,11,70,21
ThirtyDaysAgo,INR,65,79,45,66,8,64,19
SixtyDaysAgo,INR,64,79,45,65,9,65,20
NinetyDaysAgo,INR,64,79,45,64,8,66,20
OneWeekAgo,INR,87,102,78,82,9,86,7
ThirtyDaysAgo,INR,49,49,49,49,0,49,1
SixtyDaysAgo,INR,49,49,49,49,0,49,1
NinetyDaysAgo,INR,49,49,49,49,0,49,1
